liwc_posemo,liwc_negemo,liwc_anxiety,liwc_anger,liwc_sadness,liwc_cogproc,liwc_tentativeness,liwc_self_focus,liwc_social,liwc_work,liwc_time_pressure,liwc_somatic,liwc_coping
0.0,0.85,0.85,0.0,0.0,16.24,4.27,9.4,0.85,6.84,6.84,0.0,2.1375
0.0,2.67,0.53,0.0,0.0,13.9,3.74,10.7,3.74,1.6,12.3,0.0,0.5349999999999999
1.36,3.4,0.68,0.0,0.0,13.61,2.72,12.24,2.04,3.4,9.52,2.38,1.02
2.11,3.52,2.82,0.0,0.0,13.38,1.41,13.38,2.82,1.41,7.75,0.0,0.5300000000000001
0.0,2.22,1.11,0.0,0.0,7.78,1.67,12.22,2.22,2.22,8.89,3.055,1.1099999999999999
0.0,0.61,0.61,0.0,0.0,7.27,0.61,11.52,3.03,4.24,12.73,0.605,1.06
0.0,2.74,0.91,0.0,0.0,14.16,2.74,16.44,2.28,5.02,7.76,0.915,1.7125
1.84,0.92,0.46,0.0,0.0,16.59,2.76,10.14,2.3,3.69,7.37,0.46,0.9225000000000001
0.83,1.67,0.83,0.0,0.0,17.92,5.0,12.08,2.5,3.33,8.75,0.0,1.3525
0.0,3.77,1.89,0.0,0.0,7.55,1.89,9.43,1.89,3.77,11.32,0.0,1.415
0.38,0.75,0.38,0.0,0.0,12.78,3.01,10.15,2.63,2.63,7.89,0.565,1.3175
1.39,1.85,0.0,0.0,0.0,11.57,1.39,11.11,0.46,1.85,8.33,2.315,0.8099999999999999
0.0,2.17,0.43,0.0,0.0,10.43,0.87,13.48,0.0,0.0,13.04,1.085,0.6525
0.65,1.94,0.65,0.0,0.32,15.21,2.27,11.97,1.62,2.59,10.36,0.485,1.05
0.0,6.06,3.03,0.0,0.0,19.7,4.55,12.12,3.03,0.0,6.06,0.0,0.0
0.36,0.36,0.0,0.0,0.0,17.03,0.72,13.77,2.9,0.72,4.35,0.36,0.4525
1.48,1.97,0.49,0.99,0.0,11.33,1.97,10.34,6.4,2.46,8.37,0.0,0.985
0.57,2.3,0.0,0.57,0.0,16.67,4.6,13.79,1.72,2.87,6.32,1.72,0.4325
5.08,0.56,0.0,0.56,0.0,3.95,0.0,12.99,8.47,0.0,8.47,0.0,1.27
