llm_posemo,llm_negemo,llm_anxiety,llm_anger,llm_sadness,llm_cogproc,llm_tentativeness,llm_self_focus,llm_social,llm_work,llm_time_pressure,llm_somatic,llm_coping
0.05,0.22,0.18,0.0,0.0,0.34,0.42,0.62,0.0,0.88,0.38,0.18,0.22
0.32,0.48,0.18,0.12,0.03,0.34,0.3,0.72,0.22,0.62,0.28,0.22,0.4
0.34,0.22,0.06,0.0,0.0,0.18,0.22,0.86,0.0,0.55,0.12,0.42,0.38
0.62,0.28,0.22,0.0,0.0,0.12,0.18,0.72,0.08,0.34,0.06,0.24,0.58
0.22,0.18,0.05,0.06,0.04,0.1,0.12,0.78,0.06,0.28,0.06,0.42,0.24
0.34,0.1,0.01,0.0,0.0,0.18,0.08,0.78,0.02,0.42,0.03,0.22,0.2
0.22,0.28,0.18,0.0,0.0,0.24,0.26,0.72,0.18,0.62,0.12,0.34,0.46
0.34,0.46,0.22,0.06,0.18,0.42,0.3,0.78,0.14,0.62,0.36,0.52,0.44
0.42,0.12,0.03,0.02,0.0,0.55,0.28,0.78,0.18,0.62,0.22,0.24,0.48
0.1,0.1,0.0,0.0,0.0,0.4,0.3,0.6,0.1,0.7,0.4,0.0,0.4
0.22,0.46,0.24,0.06,0.03,0.34,0.28,0.72,0.02,0.62,0.38,0.44,0.36
0.12,0.62,0.05,0.0,0.06,0.22,0.18,0.78,0.0,0.18,0.12,0.82,0.34
0.22,0.28,0.06,0.0,0.0,0.24,0.26,0.72,0.0,0.12,0.08,0.62,0.34
0.42,0.48,0.12,0.08,0.1,0.62,0.44,0.78,0.12,0.66,0.22,0.58,0.64
0.0,0.55,0.35,0.2,0.0,0.45,0.55,0.4,0.0,0.0,0.0,0.2,0.0
0.18,0.62,0.12,0.22,0.08,0.24,0.2,0.78,0.22,0.3,0.34,0.06,0.04
0.22,0.62,0.12,0.48,0.28,0.34,0.18,0.66,0.36,0.44,0.18,0.02,0.06
0.12,0.62,0.08,0.18,0.28,0.3,0.22,0.86,0.02,0.48,0.18,0.7,0.2
0.78,0.12,0.03,0.06,0.0,0.08,0.12,0.62,0.55,0.0,0.08,0.0,0.0
0.0,0.12,0.18,0.0,0.0,0.06,0.22,0.55,0.0,0.0,0.0,0.62,0.0
0.22,0.34,0.06,0.02,0.12,0.28,0.18,0.72,0.02,0.38,0.14,0.08,0.1
0.0,0.35,0.1,0.2,0.0,0.0,0.0,0.25,0.15,0.3,0.2,0.1,0.0
0.18,0.78,0.22,0.06,0.12,0.22,0.28,0.86,0.0,0.22,0.34,0.06,0.08
0.18,0.22,0.03,0.12,0.02,0.34,0.02,0.42,0.0,0.06,0.28,0.0,0.0
0.72,0.06,0.03,0.0,0.0,0.34,0.12,0.78,0.0,0.18,0.14,0.12,0.22
0.0,0.35,0.25,0.05,0.0,0.55,0.35,0.6,0.0,0.05,0.55,0.0,0.0
0.22,0.48,0.18,0.06,0.08,0.24,0.16,0.72,0.02,0.78,0.34,0.14,0.12
0.22,0.62,0.28,0.06,0.04,0.18,0.2,0.72,0.04,0.78,0.66,0.22,0.2
0.55,0.55,0.25,0.45,0.05,0.45,0.25,0.75,0.35,0.75,0.1,0.05,0.45
0.78,0.22,0.08,0.06,0.0,0.34,0.14,0.72,0.0,0.62,0.18,0.0,0.26
0.12,0.72,0.28,0.06,0.04,0.34,0.22,0.62,0.18,0.78,0.18,0.06,0.08
0.62,0.38,0.06,0.05,0.02,0.22,0.12,0.78,0.06,0.03,0.34,0.18,0.2
0.78,0.12,0.08,0.0,0.06,0.22,0.18,0.72,0.0,0.28,0.04,0.08,0.18
0.22,0.78,0.18,0.62,0.08,0.34,0.3,0.72,0.06,0.86,0.32,0.28,0.14
0.12,0.78,0.22,0.82,0.02,0.22,0.12,0.62,0.38,0.86,0.18,0.06,0.28
0.12,0.72,0.22,0.28,0.12,0.46,0.34,0.62,0.3,0.86,0.18,0.1,0.26
0.03,0.92,0.12,0.62,0.08,0.34,0.18,0.78,0.28,0.74,0.46,0.06,0.05
0.22,0.78,0.34,0.06,0.04,0.28,0.18,0.72,0.0,0.86,0.32,0.02,0.26
0.92,0.18,0.04,0.0,0.0,0.12,0.08,0.62,0.0,0.12,0.08,0.02,0.06
0.78,0.34,0.12,0.18,0.0,0.22,0.16,0.72,0.12,0.22,0.08,0.12,0.18
